,user_ID,group_ID,runtime,container0,container1,container2
21043,143,144,52622.0,0.01333,4.31749,75.0
21048,143,144,123.0,0.00667,5.01064,150.0
21050,143,144,98.0,0.01333,4.31749,75.0
21051,89,90,52358.0,0.005,5.29832,200.0
21055,46,46,42821.0,0.00311,5.77455,322.0
21056,86,87,56446.0,0.00195,6.23832,512.0
21058,104,105,53628.0,0.00556,5.19296,180.0
21059,86,87,4362.0,0.00391,5.54518,256.0
21060,86,87,4097.0,0.00391,5.54518,256.0
21061,104,105,51691.0,0.00833,4.78749,120.0
21062,86,87,2256.0,0.02326,3.7612,43.0
21063,86,87,2447.0,0.02326,3.7612,43.0
21065,174,175,2.0,1.0,0.0,1.0
21066,46,46,41637.0,0.00311,5.77455,322.0
21068,174,175,1.0,1.0,0.0,1.0
21069,174,175,1.0,1.0,0.0,1.0
21070,174,175,1.0,1.0,0.0,1.0
21073,174,175,1.0,1.0,0.0,1.0
21074,174,175,4.0,1.0,0.0,1.0
21075,174,175,2.0,1.0,0.0,1.0
21076,174,175,2.0,1.0,0.0,1.0
21077,86,87,16603.0,0.00391,5.54518,256.0
21079,86,87,56566.0,0.00195,6.23832,512.0
21080,86,87,1166.0,0.02326,3.7612,43.0
21081,86,87,1166.0,0.02326,3.7612,43.0
21082,127,176,6.0,1.0,0.0,1.0
21083,174,175,4.0,1.0,0.0,1.0
21084,174,175,2.0,1.0,0.0,1.0
21085,174,175,2.0,1.0,0.0,1.0
21086,127,176,3378.0,1.0,0.0,1.0
21087,86,87,6863.0,0.00781,4.85203,128.0
21088,86,87,919.0,0.01562,4.15888,64.0
21089,174,175,17.0,0.1,2.30259,10.0
21090,174,175,9.0,0.1,2.30259,10.0
21092,140,141,3.0,0.03125,3.46574,32.0
21093,140,141,1.0,0.03125,3.46574,32.0
21094,174,175,9.0,0.1,2.30259,10.0
21095,86,87,2307.0,0.02326,3.7612,43.0
21099,86,87,288.0,0.02326,3.7612,43.0
21100,86,87,440.0,0.02326,3.7612,43.0
21103,86,87,280.0,0.02326,3.7612,43.0
21106,86,87,281.0,0.02326,3.7612,43.0
21107,46,46,43409.0,0.00311,5.77455,322.0
21108,105,106,429.0,0.5,0.69315,2.0
21110,86,87,494.0,0.04545,3.09104,22.0
21112,174,175,74.0,0.1,2.30259,10.0
21113,174,175,30.0,0.05,2.99573,20.0
21117,102,103,894.0,0.00333,5.70378,300.0
21118,104,105,53745.0,0.00556,5.19296,180.0
21119,102,103,1066.0,0.00333,5.70378,300.0
21120,104,105,53297.0,0.00833,4.78749,120.0
21122,86,87,16957.0,0.01562,4.15888,64.0
21123,102,103,1457.0,0.00333,5.70378,300.0
21128,104,105,31.0,0.5,0.69315,2.0
21129,100,101,3277.0,0.07143,2.63906,14.0
21131,140,141,5580.0,0.04545,3.09104,22.0
21132,102,103,30219.0,0.01,4.60517,100.0
21135,140,141,9.0,0.04545,3.09104,22.0
21138,86,87,56386.0,0.00195,6.23832,512.0
21139,86,87,6000.0,0.01562,4.15888,64.0
21141,86,87,3766.0,0.00585,5.14166,171.0
21142,86,87,988.0,0.04545,3.09104,22.0
21145,93,94,54220.0,0.04545,3.09104,22.0
21146,93,94,54234.0,0.04545,3.09104,22.0
21147,86,87,13214.0,0.00781,4.85203,128.0
21154,86,87,1960.0,0.04545,3.09104,22.0
21159,86,87,1129.0,0.02326,3.7612,43.0
21160,45,45,1566.0,1.0,0.0,1.0
21161,86,87,471.0,0.00585,5.14166,171.0
21162,100,101,15.0,0.07143,2.63906,14.0
21165,86,87,1058.0,0.00585,5.14166,171.0
21167,100,101,7.0,0.07143,2.63906,14.0
21169,100,101,7.0,0.07143,2.63906,14.0
21170,100,101,6.0,0.07143,2.63906,14.0
21171,86,87,13251.0,0.00781,4.85203,128.0
21173,552,570,80.0,0.05,2.99573,20.0
21174,86,87,568.0,0.02326,3.7612,43.0
21177,93,94,6881.0,0.04545,3.09104,22.0
